RecAreaID,RecAreaName
1292,Bear Lake National Wildlife Refuge
1294,Bear Valley National Wildlife Refuge
1295,Becharof National Wildlife Refuge
1296,Benton Lake National Wildlife Refuge
1297,Benton Lake Wetland Management District
1298,Big Boggy National Wildlife Refuge
1299,Big Branch Marsh National Wildlife Refuge
1300,Big Lake National Wildlife Refuge
1301,Big Muddy National Fish and Wildlife Refuge
1302,Big Stone National Wildlife Refuge
1303,Big Stone Wetland Management District
1305,Bitter Lake National Wildlife Refuge
1306,Black Bayou Lake National Wildlife Refuge
1308,Blackbeard Island National Wildlife Refuge
1309,Blackwater National Wildlife Refuge
1310,Block Island National Wildlife Refuge
1312,Bogue Chitto National Wildlife Refuge
1313,Bombay Hook National Wildlife Refuge
1314,Bon Secour National Wildlife Refuge
1315,Bosque del Apache National Wildlife Refuge
1316,Bowdoin National Wildlife Refuge
1317,Bowdoin Wetland Management District
1318,Brazoria National Wildlife Refuge
1319,Breton National Wildlife Refuge
1320,Browns Park National Wildlife Refuge
1321,Buck Island National Wildlife Refuge
1322,Buenos Aires National Wildlife Refuge
1324,Cabeza Prieta National Wildlife Refuge
1325,Cabo Rojo National Wildlife Refuge
1326,Cache River National Wildlife Refuge
1327,Caloosahatchee National Wildlife Refuge
1328,Camas National Wildlife Refuge
1329,Cameron Prairie National Wildlife Refuge
1331,Canaan Valley National Wildlife Refuge
1332,Cape May National Wildlife Refuge
1333,Cape Meares National Wildlife Refuge
1334,Cape Romain National Wildlife Refuge
1335,Carlton Pond Waterfowl Production Area
1336,Carolina Sandhills National Wildlife Refuge
1337,Catahoula National Wildlife Refuge
1338,Cedar Island National Wildlife Refuge
1339,Cedar Keys National Wildlife Refuge
1340,Cedar Point National Wildlife Refuge
1341,Charles M. Russell National Wildlife Refuge
1343,Chase Lake National Wildlife Refuge
1344,Chase Lake Prairie Project Wetland Management District
1345,Chassahowitzka National Wildlife Refuge
1346,Chautauqua National Wildlife Refuge
1347,Chickasaw National Wildlife Refuge
1348,Chincoteague National Wildlife Refuge
1349,Choctaw National Wildlife Refuge
1350,Cibola National Wildlife Refuge
1351,Clarence Cannon National Wildlife Refuge
1352,Clear Lake National Wildlife Refuge
1353,Coachella Valley National Wildlife Refuge
1354,Cold Springs National Wildlife Refuge
1355,Columbia National Wildlife Refuge
1356,Colusa National Wildlife Refuge
1357,Conboy Lake National Wildlife Refuge
1358,Crab Orchard National Wildlife Refuge
1359,Crane Meadows National Wildlife Refuge
1361,Crescent Lake National Wildlife Refuge
1363,Cross Creeks National Wildlife Refuge
1364,Cross Island National Wildlife Refuge
1365,Crystal River National Wildlife Refuge
1366,Culebra National Wildlife Refuge
1367,Currituck National Wildlife Refuge
1368,Cypress Creek National Wildlife Refuge
1369,D'Arbonne National Wildlife Refuge
1370,Dahomey National Wildlife Refuge
1371,Deep Fork National Wildlife Refuge
1372,Deer Flat National Wildlife Refuge
1373,Delevan National Wildlife Refuge
1374,Delta National Wildlife Refuge
1375,Des Lacs National Wildlife Refuge
1376,Desert National Wildlife Refuge
1377,Detroit Lakes Wetland Management District
1378,DeSoto National Wildlife Refuge
1379,Devils Lake Wetland Management District
1380,Don Edwards San Francisco Bay National Wildlife Refuge
1381,Driftless Area National Wildlife Refuge
1382,Dungeness National Wildlife Refuge
1384,Eastern Neck National Wildlife Refuge
1385,Eastern Shore of Virginia National Wildlife Refuge
1386,Edwin B. Forsythe National Wildlife Refuge
1387,Egmont Key National Wildlife Refuge
1389,Emiquon National Wildlife Refuge
1390,Erie National Wildlife Refuge
1391,Eufaula National Wildlife Refuge
1392,Fallon National Wildlife Refuge
1393,Felsenthal National Wildlife Refuge
1394,Fergus Falls Wetland Management District
1395,Fern Cave National Wildlife Refuge
1396,Bear River Migratory Bird Refuge
1397,Flint Hills National Wildlife Refuge
1398,Fort Niobrara National Wildlife Refuge
